time(s) shearinDisp topPlateVerticalDisp forwardSphereForce(N) rearSphereForce(N) totalShearForce(N) shearStress(kPa) numManifolds numContacts averageCoordinationNum
0.000000 0.000000 0.000000 11.060232 0.000000 11.060232 3.072287 15613 12157 11.240870
0.110000 0.011000 0.002018 467.129852 0.000000 467.129852 129.782089 15566 12110 11.197411
0.210000 0.021000 0.006943 350.246521 0.000000 350.246521 97.324768 15550 12094 11.182617
0.310000 0.031000 0.010548 390.277100 0.000000 390.277100 108.466354 15548 12092 11.180767
0.410000 0.041000 0.014168 259.730865 0.000000 259.730865 72.196800 15559 12103 11.190939
0.500000 0.050000 0.017654 391.851318 0.000000 391.851318 108.938377 15569 12113 11.200185
0.610000 0.061000 0.022049 431.744049 0.000000 431.744049 120.050949 15564 12107 11.194637
0.700000 0.070000 0.025620 330.976898 0.000000 330.976898 92.045418 15569 12076 11.165973
0.810000 0.081000 0.029613 326.290192 0.000000 326.290192 90.758698 15557 11810 10.920018
0.900000 0.090000 0.033157 289.863953 0.000000 289.863953 80.638725 15566 11835 10.943134
1.000000 0.100000 0.036774 336.739563 0.000000 336.739563 93.694931 15582 11807 10.917245
1.100000 0.110000 0.040535 339.138458 0.000000 339.138458 94.378151 15578 11783 10.895053
1.210000 0.121000 0.044380 306.432098 0.000000 306.432098 85.292030 15576 11773 10.885807
1.310000 0.131000 0.047932 376.326477 0.000000 376.326477 104.763878 15569 11846 10.953305
1.400000 0.140000 0.051109 341.690704 0.000000 341.690704 95.136063 15575 11821 10.930189
1.500000 0.150000 0.054668 307.927490 0.000000 307.927490 85.749794 15577 11767 10.880259
1.610000 0.161000 0.058453 320.115570 0.000000 320.115570 89.160240 15379 11696 10.814610
1.710000 0.171000 0.061829 287.694763 0.000000 287.694763 80.143623 15375 11830 10.938511
1.800000 0.180000 0.064930 309.193329 0.000000 309.193329 86.145477 15382 11856 10.962552
1.900000 0.190000 0.068264 310.938324 0.000000 310.938324 86.646133 15354 11809 10.919094
2.000000 0.200000 0.071564 298.485687 0.000000 298.485687 83.189995 15352 11779 10.891355
2.110000 0.211000 0.074875 266.492767 0.000000 266.492767 74.287010 15357 11759 10.872862
2.200000 0.220000 0.077690 323.375031 0.000000 323.375031 90.156975 15344 11843 10.950532
2.300000 0.230000 0.080914 292.964630 0.000000 292.964630 81.692223 15352 11838 10.945909
2.410000 0.241000 0.084301 286.204773 0.000000 286.204773 79.821945 15353 11751 10.865464
2.500000 0.250000 0.087021 285.651123 0.000000 285.651123 79.679535 15356 11708 10.825705
2.610000 0.261000 0.090218 276.361053 0.000000 276.361053 77.102356 15352 11807 10.917245
2.700000 0.270000 0.092945 277.719910 0.000000 277.719910 77.493134 15359 11838 10.945909
2.800000 0.280000 0.095940 281.758636 0.000000 281.758636 78.633240 15359 11831 10.939436
2.910000 0.291000 0.099182 271.588837 0.000000 271.588837 75.809013 15352 11795 10.906149
3.000000 0.300000 0.101727 274.509827 0.000000 274.509827 76.635910 15360 11749 10.863615
