xCoord,yCoord,zCoord,Deformation
12.0463,-23.6505,18.1583,0.0248528
-23.7545,-0.669029,103.65,0.0307831
-27.2643,2.88892,47.3751,-0.0108833
24.8026,13.1799,71.3316,0.115863
-27.7799,5.52598,66.3247,0.0911808
2.11291,-26.4879,60.3939,-0.0806421
-27.4757,2.76968,41.648,-0.0197501
-17.2078,-20.8326,58.5385,0.138211
24.4679,-6.06653,96.681,-0.013459
4.25944,26.0794,55.2427,-0.0392708
22.457,-14.7208,0.997792,-0.0499448
13.5204,-23.118,54.3364,0.115322
-27.3211,6.75411,70.5567,0.0456804
16.722,-19.0612,-1.80116,0.0078609
-26.8422,5.33538,63.5673,-0.0103898
-27.0711,-3.71199,31.7839,0.0854654
-19.3128,16.2377,-5.66502,0.000358343
23.5472,14.3858,6.757,0.0775766
-17.9295,-20.2712,56.3794,-0.0752677
-13.4613,24.0208,56.3088,0.0507519
26.7092,-9.83625,63.9789,0.0579276
-0.701767,25.476,16.1163,-0.0253626
16.8508,21.5361,43.9453,-0.0765061
17.6883,18.1178,-4.95151,-0.0145798
23.7723,0.615326,103.549,0.0398326
-1.31906,-26.189,67.2847,0.0608435
3.59677,27.0365,71.9241,-0.0131121
-18.6258,20.2881,59.9422,0.13031
-23.5084,-12.6565,61.4653,0.0796256
21.0317,-17.4303,49.6835,-0.0263709
-24.4818,-11.0399,55.22,0.0323
-6.27477,26.4216,8.70006,0.035605
10.383,25.3388,48.1386,-0.097279
-1.01623,-27.1146,48.1348,0.0786414
23.4441,-9.31811,-2.77316,-0.00750732
-17.0549,-21.0323,45.9014,0.1486
-26.8911,-4.49162,80.8137,0.040575
-23.9649,-13.4187,83.4706,-0.00866961
-1.09311,25.2683,-7.53842,0.00616705
15.4384,22.3879,65.6239,0.038363
11.896,-23.864,75.9637,-0.0831602
-21.7115,12.9943,-4.27748,0.0104468
-12.6581,23.9692,82.9541,-0.00720406
-22.0284,-18.3231,52.1984,0.0715951
-16.6939,21.2781,59.8799,0.0696034
-27.4763,0.530927,34.6351,-0.0190279
-14.2274,23.0175,47.9967,-0.100836
-27.0375,-3.48025,39.6479,0.0170608
-13.0266,-21.6851,-5.48351,-0.00772309
21.4482,-13.3661,98.085,0.00972366
-16.8616,20.5888,33.4895,0.111521
-25.7946,-9.11948,63.3175,0.033443
16.4203,20.9733,41.1996,0.09553
-22.357,11.836,98.5843,0.00777268
-26.9738,-6.22648,13.612,-0.0332282
-22.1042,-10.9145,95.1932,0.0159032
4.16357,24.5392,103.468,-0.0293839
-21.7171,-16.8189,47.9337,0.0177343
-11.0624,-24.2983,30.7763,0.0385776
-23.2914,15.1145,45.2486,0.0913224
-20.9976,13.8784,-7.84719,0.00701857
-19.3433,19.6097,13.375,0.00794673
-22.3749,-14.7758,89.9281,0.0103862
7.03789,25.4319,41.9874,0.0869732
14.3814,-23.5101,71.8564,-0.00955856
-6.0022,24.5887,-8.34108,-0.00706732
-14.7083,22.4753,69.6473,-0.0111823
14.1714,-23.995,45.9995,0.159303
-22.0391,11.7772,103.113,0.0147426
4.96378,26.0606,83.0722,-0.032144
5.17489,24.7589,101.197,-0.00158858
17.7522,20.4237,57.9285,-0.0883707
