xCoord,yCoord,zCoord,Deformation
10.5428,-22.9446,19.0532,5.45979e-05
-24.3147,-1.73698,107.128,0.00626314
-24.7649,2.98848,49.1942,0.00019002
22.9168,12.8195,73.7971,0.000229597
-25.8112,4.96404,68.5805,-0.000185728
2.02798,-25.3345,62.9421,0.000319242
-24.9496,2.92854,43.3799,0.000389099
-15.3748,-19.3895,60.7298,0.000166178
24.7429,-5.07085,99.6995,-0.00102735
3.95751,24.1131,57.2729,0.000495434
21.3123,-15.494,1.90173,3.96967e-05
12.161,-21.6796,56.4589,9.63211e-05
-25.6792,6.03059,72.9623,0.000124812
15.7741,-19.7858,-1.25115,0.000363827
-25.0344,5.02468,65.7623,0.000383139
-24.7611,-2.98995,33.448,9.10759e-05
-18.6528,17.0583,-5.14295,-0.00023675
22.7243,12.8229,7.69301,0.000317335
-16.0746,-18.9037,58.457,0.000184178
-12.6552,22.3871,58.5923,1.3113e-05
24.5959,-8.97317,66.1057,-2.6226e-05
-0.0338457,24.2995,16.8458,0.000170946
15.8117,20.1348,45.5645,0.000142097
18.4155,17.2543,-4.46519,-0.00446653
24.3829,1.5738,107.022,-0.00224519
-1.03106,-25.2688,70.1274,0.000197649
3.0772,25.5969,74.6442,0.000243187
-17.6412,19.2138,62.3587,-0.000113249
-21.3227,-11.8717,63.5602,9.77516e-06
19.0985,-16.5033,51.6921,-0.000321269
-22.2391,-10.199,57.2148,0.000275135
-5.24139,25.8682,9.15523,-5.6982e-05
9.78473,23.7427,49.9393,-0.000369906
-1.04604,-25.5999,50.0144,-0.000101805
23.0378,-10.4271,-2.02569,1.0252e-05
-15.3924,-19.4109,47.7663,9.89437e-05
-24.6221,-4.78212,83.2687,0.000319958
-21.8024,-13.3519,85.9803,0.000282049
-0.0449217,25.2994,-7.20441,0.00281179
14.0545,20.8372,68.0251,0.000123262
11.2821,-22.4132,78.8345,0.00041616
-21.1526,13.9195,-3.69867,0.000994444
-12.5824,22.3922,85.9173,-6.93798e-05
-20.0432,-17.1924,54.0717,0.000190616
-15.6418,19.7647,62.3023,0.000250816
-24.8949,1.0013,36.2892,0.000219345
-13.0696,21.3153,49.9947,0.000357032
-24.708,-2.85956,41.4296,0.000126839
-13.9725,-21.0669,-5.04105,-0.00129557
21.9872,-12.467,101.168,-0.00154686
-15.4096,19.3694,34.9518,-5.17368e-05
-23.7046,-8.63381,65.4071,0.000241995
15.4614,19.3804,42.7571,4.79221e-05
-22.87,10.8709,101.815,-0.00104904
-25.2706,-5.01103,14.9521,0.00041151
-21.5424,-11.8931,98.351,0.0048964
3.20135,25.0434,106.783,0.000212431
-19.842,-15.6825,49.8083,0.000173569
-10.5154,-22.9425,32.0437,0.000221252
-21.6543,14.505,47.1005,0.000366211
-20.4889,14.7701,-7.30049,0.00122368
-17.8749,19.5477,14.1979,-8.55923e-05
-21.1967,-15.3852,92.7402,-0.000226021
6.79822,23.728,43.5054,-3.14713e-05
13.4869,-22.1001,74.5117,0.000355244
-5.00833,24.8226,-7.97908,-0.000110149
-13.9441,20.7241,72.3287,0.000192165
12.6265,-22.6346,47.8877,1.66893e-06
-22.7387,10.9067,106.372,-0.000213623
4.0815,25.0557,86.1515,0.000177503
4.14959,24.9859,104.482,-0.000466585
16.5874,19.3055,60.0375,0.000391603
22.7384,-6.60804,107.292,0.00150108
-15.3479,19.3035,67.3594,0.000329256
22.6205,-11.4084,-5.59997,0.000246525
12.4525,-22.2604,33.4297,0.000109911
23.2943,-11.926,28.4779,0.000601888
24.373,3.1493,19.7631,0.000120163
-22.1864,-12.5059,72.268,-0.000331163
14.5601,-20.4618,94.4545,0.000152588
24.3915,2.03053,24.0713,-0.00010097
-15.2754,-19.2455,67.2359,2.47955e-05
12.4415,21.7702,95.1665,0.000351071
6.79758,24.2106,10.6142,8.32081e-05
-18.3719,18.8109,88.9584,-0.00031054
-24.7014,6.73634,-0.174707,-0.00141001
2.10386,24.597,98.458,-0.00111258
-21.7709,14.6457,21.9879,0.000146866
-21.5326,13.2905,84.5353,0.000134587
3.98635,24.1029,107.035,0.00155282
-24.4455,0.978682,37.7049,0.000219584
2.01817,24.5622,77.3386,0.000308275
23.774,10.9597,40.5642,0.000220299
19.9011,15.9056,71.5597,-0.000173807
15.4749,-19.5606,3.59104,0.00069499
12.3489,-22.1749,75.2536,-0.000103951
5.18883,24.8093,89.0208,-0.00116253
15.5144,-19.9769,99.4053,0.000355244
10.8851,-21.9164,95.8307,0.000760078
1.94707,25.0833,19.7402,0.000416756
25.6669,6.00934,29.8953,-0.000431299
15.9649,20.3885,70.7906,-0.000104427
24.3582,-7.88883,75.7894,0.000608921
23.8604,-8.66006,10.3393,0.000252247
15.7161,-19.755,14.1204,1.7643e-05
-24.1225,-5.6822,57.4506,-3.23057e-05
-14.401,-21.5895,45.601,5.00679e-05
-5.01972,25.14,36.2426,0.00030303
-23.8322,8.56712,-3.73253,0.00024581
-21.3456,14.3231,59.374,0.000584602
-24.9771,2.91726,11.1589,0.000432491
-19.2079,-15.3583,18.2086,0.000169992
16.709,-18.2876,88.9046,-1.21593e-05
-15.815,20.1405,50.0684,0.000183344
-5.12558,-25.3158,49.2961,0.00015378
19.831,-15.6727,58.7881,0.000113249
-5.93797,24.8989,75.9221,0.00183499
25.8287,-2.96555,70.773,3.8147e-06
21.7258,12.9729,104.644,-0.00234556
25.2675,0.613733,105.954,-0.000556707
-3.05181,25.1422,-6.5202,-0.00151324
-25.5935,-2.91563,19.271,0.000246763
19.0147,17.8,45.4496,-5.91278e-05
-17.7095,19.3264,4.9717,0.000365496
-21.9726,12.5873,100.283,0.000339985
-23.7779,-8.51658,105.973,-0.00120878
-21.2803,14.1796,3.48466,-0.0032084
-11.5034,-22.5444,94.4324,0.000199914
17.807,19.4878,48.4091,-0.000152588
-0.934624,-25.3024,-8.09731,2.81334e-05
16.2666,-19.3946,104.611,0.000174284
12.1733,-21.7593,30.5533,0.000188828
-3.98695,24.3648,19.8011,0.000113249
25.0443,-4.97528,93.6375,0.000106812
-16.3117,-18.9265,98.4586,0.00231838
-3.09287,-25.4574,25.5852,-0.000190973
-25.1236,2.77263,-2.84403,0.000146151
7.16694,-25.3543,72.9756,-0.000180244
-5.07299,-25.794,9.15693,4.24385e-05
19.1676,18.2558,1.13224,-0.000739813
1.00445,-25.4235,75.2038,0.000234127
25.7828,-6.00514,74.3287,0.000320792
-24.3909,2.10792,87.2732,2.87294e-05
12.3203,22.098,10.4778,-0.000138879
-23.4664,-9.49999,104.393,0.000170469
20.6997,16.4271,67.1951,-0.00021553
24.7187,-9.08761,80.0286,0.000305891
13.5646,20.517,4.8061,-9.53674e-07
