Time(s),Extension(mm),ThinMembraneLoad(N),ThickMembraneLoad(N)
0,0,0.00042,0.00831
0.1,0.09175,0.05739,0.08616
0.2,0.19731,0.07006,0.23074
0.3,0.29944,0.11231,0.32626
0.4,0.39987,0.15777,0.43016
0.5,0.5,0.2069,0.52908
0.6,0.60006,0.2413,0.62305
0.7,0.69987,0.25422,0.73032
0.8,0.80012,0.31273,0.82345
0.9,0.9,0.32753,0.91394
1,1,0.35748,1.01262
1.1,1.1,0.40867,1.09513
1.2,1.19994,0.42174,1.20199
1.3,1.30006,0.45347,1.28041
1.4,1.40006,0.4925,1.36829
1.5,1.50012,0.50841,1.46596
1.6,1.6,0.55628,1.54838
1.7,1.7,0.57595,1.63002
1.8,1.80006,0.59919,1.73212
1.9,1.9,0.64047,1.80505
2,1.99994,0.65464,1.90065
2.1,2.10012,0.69949,1.97152
2.2,2.20006,0.72542,2.0656
2.3,2.30006,0.74577,2.1594
2.4,2.4,0.78393,2.22975
2.5,2.5,0.80009,2.31961
2.6,2.60006,0.83478,2.39817
2.7,2.70006,0.866,2.47726
2.8,2.8,0.88644,2.5738
2.9,2.89994,0.91682,2.6434
3,3.00006,0.94777,2.71809
3.1,3.10006,0.96666,2.80908
3.2,3.20006,0.99676,2.87311
3.3,3.3,1.01331,2.97243
3.4,3.4,1.05248,3.03929
3.5,3.50006,1.07239,3.11242
3.6,3.6,1.0961,3.18924
3.7,3.69994,1.12512,3.26122
3.8,3.8,1.13982,3.34929
3.9,3.90006,1.1712,3.41881
4,4.00006,1.19168,3.48865
4.1,4.1,1.21066,3.56749
4.2,4.19994,1.23841,3.63942
4.3,4.30006,1.26819,3.72044
4.4,4.40006,1.2822,3.7968
4.5,4.5,1.32283,3.86394
4.6,4.6,1.3337,3.93398
4.7,4.7,1.36533,4.01193
4.8,4.8,1.37867,4.07883
4.9,4.9,1.39583,4.16362
5,5,1.4349,4.22291
5.1,5.1,1.44912,4.30578
5.2,5.20006,1.47857,4.36919
5.3,5.30006,1.50047,4.43486
5.4,5.4,1.525,4.51532
5.5,5.49994,1.55183,4.57707
5.6,5.60012,1.56599,4.65757
5.7,5.7,1.59962,4.71638
5.8,5.80006,1.62444,4.78803
5.9,5.89994,1.6272,4.86393
6,6,1.64983,4.9192
6.1,6.1,1.67873,4.97992
6.2,6.20006,1.69057,5.06438
6.3,6.30006,1.73113,5.1162
6.4,6.39994,1.7328,5.19571
6.5,6.50006,1.76279,5.25438
6.6,6.60006,1.78161,5.31932
6.7,6.70006,1.80613,5.38983
6.8,6.8,1.83821,5.44458
6.9,6.9,1.84794,5.51907
7,7.00006,1.86991,5.58115
7.1,7.10006,1.89765,5.64688
7.2,7.20006,1.91198,5.71057
7.3,7.3,1.9393,5.77224
7.4,7.40006,1.95511,5.83667
7.5,7.50006,1.95572,5.9038
7.6,7.60006,1.98699,5.96061
7.7,7.7,2.01147,6.0214
7.8,7.80006,2.02933,6.08548
7.9,7.9,2.05493,6.13592
8,7.99994,2.06599,6.21912
8.1,8.1,2.10333,6.26329
8.2,8.20012,2.1187,6.33128
8.3,8.30006,2.14232,6.3822
8.4,8.40006,2.16293,6.44773
8.5,8.5,2.17187,6.51154
8.6,8.6,2.20409,6.56147
8.7,8.70006,2.21608,6.62049
8.8,8.80006,2.24278,6.68226
8.9,8.89994,2.26218,6.73456
9,9.00006,2.27253,6.79212
9.1,9.10006,2.29131,6.86159
9.2,9.20006,2.30844,6.90748
9.3,9.30006,2.32448,6.97045
9.4,9.39987,2.35491,7.02216
9.5,9.50012,2.35738,7.08118
9.6,9.6,2.38077,7.14585
9.7,9.7,2.41307,7.20179
9.8,9.8,2.42177,7.25618
9.9,9.90006,2.44463,7.29185
10,10.00012,2.45831,7.36664
10.1,10.10006,2.48477,7.42375
10.2,10.2,2.50726,7.46879
10.3,10.30006,2.51573,7.52296
10.4,10.40012,2.54782,7.57918
10.5,10.5,2.56543,7.64337
10.6,10.6,2.55904,7.69588
10.7,10.7,2.58671,7.73329
10.8,10.80006,2.6036,7.7923
10.9,10.90012,2.62661,7.85677
11,11,2.65137,7.8932
11.1,11.1,2.65252,7.96054
11.2,11.20006,2.68317,7.99364
11.3,11.30012,2.69492,8.05652
11.4,11.40006,2.71143,8.10654
11.5,11.49994,2.7374,8.15218
11.6,11.60006,2.74016,8.2197
11.7,11.70012,2.77495,8.26168
11.8,11.80006,2.78563,8.30561
11.9,11.9,2.80246,8.3646
12,12.00006,2.83049,8.40971
12.1,12.10006,2.84331,8.47069
12.2,12.2,2.85592,8.51512
12.3,12.3,2.88072,8.56057
12.4,12.39994,2.8767,8.61537
12.5,12.50006,2.90673,8.66832
12.6,12.6,2.88732,8.72018
12.7,12.7,2.93132,8.77386
