shearDisp angle(XZ)(deg) contactForce(N)
0.999984 0 1181.77
0.999984 10 1181.77
0.999984 10 27.6504
0.999984 20 27.6504
0.999984 20 31.311
0.999984 30 31.311
0.999984 30 19.4533
0.999984 40 19.4533
0.999984 40 16.9663
0.999984 50 16.9663
0.999984 50 1915.94
0.999984 60 1915.94
0.999984 60 4.20087
0.999984 70 4.20087
0.999984 70 372.215
0.999984 80 372.215
0.999984 80 1672.57
0.999984 90 1672.57
0.999984 90 1009.92
0.999984 100 1009.92
0.999984 100 262.471
0.999984 110 262.471
0.999984 110 4.45179
0.999984 120 4.45179
0.999984 120 1206.2
0.999984 130 1206.2
0.999984 130 23.3057
0.999984 140 23.3057
0.999984 140 0
0.999984 150 0
0.999984 150 23.3593
0.999984 160 23.3593
0.999984 160 6.34595
0.999984 170 6.34595
0.999984 170 2591.05
0.999984 180 2591.05
