s/d,stress(rol=0),dilation(rol=0),rotation(rol=0),stress(rol=0.0025),dilation(rol=0.0025),rotation(rol=0.0025),stress(rol=0.1),dilation(rol=0.1),rotation(rol=0.1)
0,0,0,3.93373,0,0,2.89412,-0.000224,0,2.11946
0.0017195,11.450983,0.000889,8.61948,11.586764,0.000862,2.98699,12.768486,0.000694,2.18122
0.0020705,35.331649,0.001286,13.5686,35.659939,0.001228,3.20337,39.224272,0.000732,2.17513
0.0023035,60.525176,0.001625,17.5626,60.950821,0.00156,3.93787,65.701661,0.000877,2.17435
0.002837,82.382892,0.002518,23.8481,82.664659,0.002476,11.2603,88.282132,0.001637,2.32468
0.003735,97.412684,0.00399,35.581,97.892795,0.00391,13.6875,103.83775,0.003063,2.64784
0.00560725,107.181017,0.007,57.9332,107.812976,0.006905,14.9141,116.614951,0.00565,3.11667
0.007732,108.589054,0.010406,81.4351,109.284892,0.010296,17.2732,119.504101,0.008854,3.45203
0.010915,103.798718,0.015465,111.012,104.573128,0.015362,19.6069,115.253114,0.013878,4.05093
0.01383125,96.409481,0.020073,138.573,97.515023,0.019917,21.1176,107.366985,0.018608,4.47206
0.01717725,87.018296,0.025318,177.298,87.941589,0.025181,23.4891,96.920908,0.024113,4.90451
0.0204615,78.313774,0.030472,219.813,79.40569,0.030304,26.2501,87.330598,0.029331,5.61364
0.023887,70.812709,0.035801,268.96,72.270421,0.035549,29.6732,79.943886,0.03429,6.10884
0.02676975,66.566922,0.040211,314.131,68.34515,0.03986,33.1608,75.38388,0.038521,6.77474
0.02918175,64.774351,0.043842,353.069,67.023381,0.04327,35.6511,73.723859,0.041729,7.79023
0.031712,64.448675,0.047585,391.29,67.505976,0.046783,37.9327,74.770166,0.045185,8.63348
0.0343475,65.733158,0.051395,429.379,68.17167,0.050667,40.461,77.461603,0.048817,10.8579
0.03675475,66.778066,0.05471,461.121,68.345145,0.054165,42.997,80.544337,0.052021,11.8528
0.0389385,67.526594,0.057781,486.994,68.206952,0.057178,45.3885,83.067213,0.054913,12.5107
0.04142875,67.64624,0.061008,515.523,68.069546,0.060318,47.6152,85.082958,0.058186,13.6035
0.043925,67.697474,0.064217,543.397,68.242927,0.063728,49.7132,86.142708,0.061523,14.5572
0.04673925,66.995845,0.067844,575.901,67.909144,0.067341,52.0362,85.923583,0.06501,16.1752
0.04912225,65.522906,0.070889,603.393,67.360046,0.070419,53.9063,84.301642,0.068222,16.5811
0.05181975,63.33375,0.07436,636.415,66.406298,0.073784,56.4685,81.3472,0.07177,17.5932
0.054763,61.190314,0.07803,675.115,65.459871,0.077435,58.9321,77.809135,0.075481,18.68
0.05709325,60.305578,0.080872,707.966,64.522555,0.080299,61.2538,75.548114,0.07864,19.1824
0.05992,59.459309,0.084244,749.928,63.602618,0.083744,64.0207,73.44606,0.082413,20.022
0.062203,59.100672,0.087059,784.049,63.08467,0.08643,66.0741,72.42605,0.085358,20.7631
0.0647295,58.815958,0.090084,819.404,62.558575,0.089352,68.7051,72.184766,0.088493,21.6729
0.06752375,58.33123,0.093369,856.189,61.276211,0.092773,71.812,72.598783,0.091736,22.4482
0.06981575,57.871784,0.095966,886.398,59.449852,0.095581,73.586,73.344544,0.094185,22.9227
0.0726285,57.181947,0.099072,922.13,57.766383,0.098984,76.0652,72.91796,0.097343,23.5089
0.07518225,56.591218,0.101891,953.985,57.414238,0.101871,78.5331,72.033728,0.100071,23.8357
0.07750625,55.774148,0.104496,982.352,57.668481,0.104385,80.9548,71.477903,0.102684,24.1112
0.08032175,55.052552,0.107685,1015.57,57.942711,0.107399,84.0041,70.271697,0.105923,24.6419
0.08258775,54.883372,0.11018,1043.02,57.771799,0.109741,86.8828,69.067305,0.108578,25.2617
0.08509725,54.785704,0.112808,1071.92,56.721114,0.112499,89.4666,67.916391,0.111454,26.1657
0.08789775,54.231693,0.115734,1103.79,54.822024,0.115562,92.2648,67.036828,0.114525,26.8814
0.090207,53.577544,0.118153,1130.64,53.745304,0.117985,94.3922,66.525991,0.116779,27.8864
